file_name,gps_latitude_d,gps_latitude_m,gps_latitude_s,gps_longitude_d,gps_longitude_m,gps_longitude_s,gps_altitude,datetime
68C34717-BBD3-44D9-A4F3-932A8DCFD6F4_1_105_c.jpeg,46.0,47.0,31.13,121.0,43.0,16.97,1688.26318359375,2020:08:27 10:32:43
83EE651E-4500-43F9-88F0-C44A93E2F4B7_1_105_c.jpeg,46.0,46.0,35.63,121.0,43.0,10.0,1599.5999755859375,2020:08:23 11:23:20
E30821EE-3421-4A21-9A02-4E66EDFD6BBA_1_105_c.jpeg,46.0,47.0,31.52,121.0,43.0,22.33,1673.7098121085594,2020:08:27 10:29:17
6B4FBFEB-FDAE-4C78-8D67-5F887BA2BA0D_1_105_c.jpeg,46.0,47.0,28.33,121.0,43.0,5.25,1786.8790276992652,2020:08:27 11:22:56
32D97511-960F-4B97-9D1F-181D76E49027_1_105_c.jpeg,46.0,47.0,44.15,121.0,42.0,46.3,1863.970457902511,2020:08:27 11:44:39
2F5DA758-7E65-47F0-9B3E-C3DED0D48696_1_105_c.jpeg,46.0,47.0,28.39,121.0,43.0,5.83,1777.199951171875,2020:08:23 13:29:38
2DEF7B16-5758-45C6-91B2-3972CD077D11_1_105_c.jpeg,46.0,47.0,1.77,121.0,43.0,12.14,1705.800048828125,2020:08:23 14:16:50
C1E816CB-5682-4318-BF4C-0BF72B0D5E25_1_105_c.jpeg,46.0,47.0,25.3,121.0,43.0,15.14,1725.6384266263237,2020:08:30 10:12:32
14B0125C-E5A1-4478-91B7-470DE83A8A3E_1_105_c.jpeg,46.0,46.0,28.96,121.0,43.0,10.16,1615.800048828125,2020:08:23 10:58:10
5EF49FF0-DD30-45C6-B258-D032964A325C_1_105_c.jpeg,46.0,46.0,32.45,121.0,43.0,11.56,1610.0,2020:08:23 11:04:39
89934C23-79D2-4778-80F9-721BE883EE56_1_105_c.jpeg,46.0,46.0,34.26,121.0,43.0,10.25,1597.6,2020:08:23 11:32:18
42AE5896-8D2D-4DA9-82BB-1B861F6EA781_1_105_c.jpeg,46.0,47.0,50.48,121.0,42.0,39.37,1887.8307174887893,2020:08:27 12:03:21
DBCEF0B0-75D3-4153-A53F-99E5DC77CD75_1_105_c.jpeg,46.0,47.0,24.51,121.0,43.0,9.52,1763.413806552262,2020:08:27 10:45:09
B1AB576C-81C1-414D-A2D3-E9D43433C109_1_105_c.jpeg,46.0,47.0,5.74,121.0,43.0,12.44,1715.800048828125,2020:08:23 14:14:01
E6D12CAE-070A-4C5C-A933-6FAC046CCED5_1_105_c.jpeg,46.0,47.0,3.57,121.0,43.0,12.28,1717.4000244140625,2020:08:23 12:51:44
8028A874-3DBD-4765-BE1C-1797396ADAB2_1_105_c.jpeg,46.0,46.0,44.89,121.0,43.0,15.05,1642.4000244140625,2020:08:23 11:54:07
77ECC8A5-D375-4660-8807-C8CAA26C4BBA_1_105_c.jpeg,46.0,47.0,6.88,121.0,43.0,11.89,1725.1,2020:08:23 12:57:35
4FEAC42F-A7E5-4D4D-A587-81E009B0451F_1_105_c.jpeg,46.0,46.0,36.09,121.0,43.0,9.45,1588.2088607594937,2020:08:30 11:56:30
E8CED914-60BB-4860-B34F-7A8D9C123139_1_105_c.jpeg,46.0,47.0,21.59,121.0,43.0,12.69,1750.681640625,2020:08:30 11:02:17
BB2675E7-B832-4C81-95FC-3EFF35B27B7F_1_105_c.jpeg,46.0,46.0,34.37,121.0,43.0,12.32,1602.406340057637,2020:08:30 11:50:27
383ECFFE-9861-48AD-B0A3-1D86B82DBD20_1_105_c.jpeg,46.0,46.0,50.15,121.0,43.0,9.45,1674.289183222958,2020:08:30 11:38:45
20910854-79F1-4F90-A259-590DFEEA7707_1_105_c.jpeg,46.0,47.0,28.16,121.0,43.0,5.36,1785.476439790576,2020:08:27 11:03:08
583F5F33-9B72-40D2-8290-333496DE119E_1_105_c.jpeg,46.0,46.0,36.5,121.0,43.0,8.6,1592.800048828125,2020:08:23 11:10:30
891D05BA-CBFE-4B5F-8A0B-D0A83D1B97F4_1_105_c.jpeg,46.0,47.0,5.99,121.0,43.0,12.25,1718.4000244140625,2020:08:23 14:13:39
F3202507-AA5C-41DF-97F9-E63ECF98F6A1_1_105_c.jpeg,46.0,46.0,32.86,121.0,43.0,11.21,1612.199951171875,2020:08:23 11:05:30
16D001D6-F2A0-4AF1-829F-D3A53C2A3439_1_105_c.jpeg,46.0,46.0,28.93,121.0,43.0,10.13,1615.699951052374,2020:08:23 10:58:34
18BD2E1F-CA16-4EAA-8806-3625DFFD93AA_1_105_c.jpeg,46.0,47.0,22.85,121.0,43.0,12.31,1752.300048947626,2020:08:23 13:58:22
